Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
101.0,Mark Blount,29.0,BOS,C,82.0,57.0,2130.0,7.9,14.9,0.529,0.0,0.0,0.0,7.9,14.9,0.53,0.529,2.8,4.0,0.713,3.5,6.1,9.6,3.1,0.8,1.5,3.8,5.5,18.6,103.0,108.0,
102.0,Reggie Miller,39.0,IND,SG,66.0,66.0,2105.0,8.2,18.8,0.437,2.5,7.8,0.322,5.7,11.0,0.518,0.503,6.5,7.0,0.933,0.5,3.6,4.1,3.8,1.3,0.1,2.0,2.9,25.5,118.0,109.0,
103.0,Dan Dickau,26.0,2TM,PG,71.0,46.0,2090.0,8.0,19.8,0.405,2.2,6.4,0.347,5.8,13.4,0.432,0.461,5.0,6.0,0.833,0.9,3.8,4.7,9.1,2.0,0.1,3.8,5.3,23.3,105.0,109.0,
105.0,Trenton Hassell,25.0,MIN,SG,82.0,51.0,2068.0,5.9,12.4,0.474,0.0,0.3,0.091,5.8,12.1,0.483,0.475,2.3,3.0,0.789,2.1,3.6,5.7,3.3,0.8,0.8,1.7,5.2,14.1,108.0,111.0,DPOY-14
106.0,Josh Smith,19.0,ATL,SF,74.0,59.0,2050.0,7.0,15.4,0.455,0.1,0.6,0.174,6.9,14.8,0.466,0.458,4.2,6.1,0.688,3.8,7.9,11.7,3.3,1.5,3.7,3.5,4.0,18.3,100.0,107.0,
107.0,Antonio Daniels,29.0,SEA,PG,75.0,2.0,2026.0,7.4,16.8,0.438,1.3,4.4,0.297,6.0,12.3,0.489,0.478,6.7,8.2,0.816,0.5,4.0,4.6,8.3,1.4,0.1,2.1,2.1,22.7,124.0,113.0,6MOY-8
108.0,Lee Nailon,29.0,NOH,SF,68.0,51.0,2017.0,11.3,23.6,0.478,0.0,0.1,0.0,11.3,23.6,0.479,0.478,3.6,4.5,0.806,3.5,4.6,8.1,3.0,1.0,0.4,3.0,5.2,26.2,102.0,111.0,
109.0,Marcus Camby,30.0,DEN,C,66.0,66.0,2015.0,7.1,15.3,0.465,0.0,0.1,0.0,7.1,15.2,0.468,0.465,3.2,4.4,0.723,3.3,13.5,16.8,3.9,1.6,5.1,2.6,4.5,17.4,103.0,96.0,"MVP-14,DPOY-3"
110.0,Jared Jeffries,23.0,WAS,SF,77.0,71.0,2007.0,5.2,11.1,0.468,0.4,1.3,0.314,4.8,9.8,0.488,0.486,2.6,4.4,0.584,3.9,5.7,9.6,3.9,1.7,0.9,2.9,5.3,13.4,104.0,108.0,
111.0,Tyronn Lue,27.0,2TM,PG,70.0,49.0,2007.0,7.8,17.2,0.451,1.4,4.1,0.355,6.3,13.1,0.481,0.493,3.7,4.3,0.861,0.4,3.6,3.9,8.5,0.9,0.0,2.8,4.4,20.7,112.0,113.0,
112.0,Ben Gordon,21.0,CHI,SG,82.0,3.0,2002.0,11.3,27.4,0.411,3.5,8.6,0.405,7.8,18.8,0.414,0.474,6.0,7.0,0.863,1.4,4.1,5.6,4.3,1.4,0.3,4.8,5.8,32.0,100.0,103.0,"ROY-2,6MOY-1"
113.0,Jim Jackson,34.0,2TM,SF,64.0,27.0,1987.0,6.5,15.2,0.426,3.2,7.7,0.414,3.3,7.5,0.439,0.531,1.4,1.5,0.931,0.9,6.2,7.0,4.8,0.9,0.1,3.0,4.0,17.6,105.0,107.0,6MOY-10
114.0,Marc Jackson,30.0,PHI,C,81.0,23.0,1976.0,8.7,18.7,0.465,0.0,0.1,0.0,8.7,18.7,0.466,0.465,7.4,8.9,0.828,4.7,5.7,10.4,2.1,0.8,0.5,3.4,4.4,24.8,108.0,108.0,
115.0,Nenad Krstić,21.0,NJN,PF,75.0,57.0,1965.0,7.7,15.6,0.493,0.0,0.1,0.0,7.7,15.6,0.495,0.493,5.1,7.0,0.725,4.4,6.6,11.0,2.1,0.9,1.7,3.1,7.7,20.5,106.0,104.0,
116.0,Ruben Patterson,29.0,POR,SF,70.0,36.0,1957.0,8.7,16.4,0.531,0.1,0.7,0.08,8.7,15.7,0.55,0.532,4.6,7.7,0.599,3.4,4.0,7.5,3.8,2.9,0.6,3.9,4.5,22.1,105.0,108.0,
117.0,Jason Williams,29.0,MEM,PG,71.0,68.0,1952.0,7.4,17.9,0.413,3.0,9.2,0.324,4.4,8.7,0.506,0.496,2.2,2.8,0.792,0.5,2.9,3.4,11.1,2.1,0.1,3.6,2.5,20.0,107.0,107.0,
118.0,Rick Brunson,32.0,LAC,PG,80.0,39.0,1945.0,4.6,12.2,0.376,1.3,3.6,0.369,3.3,8.6,0.378,0.43,1.6,2.0,0.77,0.6,4.5,5.2,11.4,2.3,0.2,3.5,2.9,12.1,99.0,108.0,
119.0,Brevin Knight,29.0,CHA,PG,66.0,61.0,1944.0,6.6,15.7,0.422,0.1,0.5,0.15,6.6,15.2,0.432,0.425,4.5,5.2,0.852,0.6,4.0,4.5,15.8,3.5,0.1,3.9,5.1,17.8,108.0,107.0,
120.0,Tim Thomas,27.0,NYK,SF,71.0,68.0,1940.0,8.6,19.6,0.439,2.3,5.7,0.409,6.3,13.9,0.451,0.498,3.7,4.7,0.786,1.2,5.2,6.5,3.0,1.1,0.5,3.1,6.1,23.2,103.0,111.0,
121.0,Nazr Mohammed,27.0,2TM,C,77.0,59.0,1933.0,7.9,16.6,0.48,0.0,0.0,0.0,7.9,16.5,0.481,0.48,4.2,6.2,0.674,6.8,9.3,16.1,0.9,1.6,2.4,3.0,6.5,20.1,106.0,103.0,
122.0,Bob Sura,31.0,HOU,PG,61.0,59.0,1922.0,6.0,14.2,0.427,1.5,4.4,0.355,4.5,9.8,0.458,0.481,4.0,5.3,0.75,2.2,7.3,9.5,8.9,1.8,0.2,4.1,4.7,17.6,106.0,102.0,
123.0,Tony Battie,28.0,ORL,C,81.0,32.0,1894.0,4.4,9.5,0.46,0.0,0.2,0.0,4.4,9.3,0.468,0.46,1.8,2.5,0.723,2.9,9.2,12.1,1.1,0.8,2.2,2.2,6.5,10.5,98.0,106.0,
124.0,Andrés Nocioni,25.0,CHI,SF,81.0,38.0,1892.0,6.6,16.5,0.401,0.7,2.7,0.258,5.9,13.8,0.429,0.422,4.7,6.1,0.766,1.9,8.7,10.6,3.3,1.0,0.9,3.7,5.7,18.6,94.0,100.0,DPOY-21
125.0,Jason Hart,26.0,CHA,PG,74.0,27.0,1887.0,7.1,15.8,0.449,1.0,2.6,0.368,6.1,13.2,0.464,0.479,4.3,5.5,0.785,0.5,5.1,5.6,10.1,2.7,0.4,2.8,4.6,19.5,112.0,107.0,
126.0,Reggie Evans,24.0,SEA,PF,79.0,79.0,1881.0,3.8,8.0,0.476,0.0,0.1,0.0,3.8,7.9,0.48,0.476,3.6,6.8,0.534,7.4,14.0,21.4,1.7,1.7,0.4,3.0,5.9,11.2,107.0,105.0,
127.0,Chris Mihm,25.0,LAL,C,75.0,75.0,1870.0,7.9,15.6,0.507,0.0,0.1,0.0,7.9,15.5,0.509,0.507,4.9,7.3,0.678,5.6,8.6,14.2,1.4,0.4,3.1,3.1,6.7,20.8,109.0,110.0,
129.0,Speedy Claxton,26.0,2TM,PG,62.0,47.0,1866.0,7.2,17.1,0.421,0.3,1.7,0.18,6.9,15.4,0.447,0.43,5.2,7.1,0.736,1.0,4.1,5.1,10.4,3.0,0.2,3.3,5.1,19.9,106.0,107.0,
130.0,Brendan Haywood,25.0,WAS,C,68.0,68.0,1865.0,6.6,11.8,0.56,0.0,0.0,,6.6,11.8,0.56,0.56,4.4,7.2,0.609,5.6,7.2,12.8,1.6,1.4,3.1,2.6,6.0,17.6,115.0,106.0,
131.0,J.R. Smith,19.0,NOH,SG,76.0,56.0,1859.0,8.7,22.1,0.394,2.4,8.3,0.288,6.3,13.8,0.458,0.449,3.3,4.7,0.689,1.2,3.3,4.5,4.2,1.6,0.3,3.2,4.0,23.1,95.0,110.0,ROY-5
132.0,Mike James,29.0,2TM,PG,74.0,5.0,1859.0,9.5,21.5,0.441,2.9,7.4,0.386,6.6,14.1,0.47,0.507,3.1,4.2,0.752,1.0,5.0,6.0,7.5,1.9,0.2,3.0,5.0,25.0,108.0,108.0,
133.0,Joel Przybilla,25.0,POR,C,76.0,50.0,1858.0,5.7,9.6,0.598,0.0,0.0,,5.7,9.6,0.598,0.598,2.6,5.0,0.517,5.1,11.8,16.9,2.1,0.7,4.7,2.8,6.9,14.0,111.0,103.0,DPOY-12
134.0,Vladimir Radmanović,24.0,SEA,PF,63.0,0.0,1856.0,7.8,19.1,0.409,3.8,9.7,0.389,4.1,9.4,0.43,0.508,2.4,3.0,0.786,1.5,7.0,8.5,2.5,1.7,0.9,2.4,5.1,21.8,110.0,109.0,6MOY-5
135.0,Eric Snow,31.0,CLE,SG,81.0,15.0,1844.0,3.6,9.5,0.382,0.4,1.3,0.289,3.2,8.2,0.397,0.402,1.7,2.3,0.738,1.1,3.4,4.5,9.2,1.9,0.5,2.6,5.5,9.3,101.0,108.0,
136.0,Antonio Davis,36.0,CHI,PF,72.0,62.0,1843.0,5.4,11.8,0.461,0.0,0.0,,5.4,11.8,0.461,0.461,3.2,4.3,0.757,4.3,7.8,12.1,2.3,0.8,1.2,2.7,4.1,14.1,103.0,101.0,
137.0,Ira Newble,30.0,CLE,SG,74.0,69.0,1832.0,5.3,12.4,0.429,0.6,1.5,0.358,4.8,10.8,0.439,0.452,1.6,2.0,0.797,2.3,4.1,6.4,2.7,1.5,0.5,1.8,4.2,12.8,102.0,109.0,
138.0,Jumaine Jones,25.0,LAL,SF,76.0,23.0,1830.0,6.1,14.0,0.432,2.9,7.5,0.391,3.1,6.5,0.48,0.537,1.6,2.2,0.733,3.1,8.4,11.5,1.9,1.3,0.7,1.4,4.8,16.7,116.0,111.0,
139.0,Austin Croshere,29.0,IND,PF,73.0,22.0,1827.0,5.7,15.0,0.378,1.4,5.2,0.259,4.3,9.7,0.443,0.424,6.8,7.7,0.883,3.1,8.2,11.3,3.0,1.4,0.5,3.1,4.6,19.5,106.0,105.0,
140.0,Earl Watson,25.0,MEM,PG,80.0,14.0,1808.0,7.1,16.6,0.426,1.6,4.9,0.319,5.5,11.7,0.471,0.473,2.7,4.1,0.659,1.1,3.9,4.9,10.8,2.5,0.6,5.0,5.5,18.5,98.0,104.0,
141.0,Eddy Curry,22.0,CHI,C,63.0,60.0,1808.0,11.3,21.0,0.538,0.0,0.0,,11.3,21.0,0.538,0.538,6.5,9.0,0.72,3.3,6.4,9.7,1.1,0.6,1.7,4.7,5.8,29.1,103.0,102.0,
143.0,Casey Jacobsen,23.0,2TM,SG,84.0,1.0,1798.0,4.8,12.0,0.404,1.9,5.2,0.373,2.9,6.8,0.429,0.485,4.4,5.6,0.786,1.0,3.9,4.9,3.3,1.0,0.2,2.1,3.0,16.0,111.0,112.0,
144.0,Antonio McDyess,30.0,DET,PF,77.0,8.0,1797.0,9.4,18.3,0.513,0.0,0.0,0.0,9.4,18.3,0.514,0.513,3.9,5.9,0.656,5.4,9.3,14.8,2.2,1.4,1.6,2.8,6.3,22.7,109.0,100.0,6MOY-7
145.0,Keith Bogans,24.0,CHA,SG,74.0,42.0,1791.0,7.6,20.0,0.381,1.7,5.0,0.329,6.0,15.0,0.398,0.422,3.9,5.3,0.727,2.2,4.4,6.6,3.9,2.0,0.2,3.5,4.9,20.7,93.0,110.0,
146.0,Raja Bell,28.0,UTA,SG,63.0,32.0,1790.0,9.2,20.2,0.454,1.6,4.1,0.403,7.6,16.2,0.467,0.495,3.4,4.6,0.747,1.5,4.6,6.1,2.8,1.3,0.2,2.4,6.2,23.4,105.0,112.0,
148.0,Samuel Dalembert,23.0,PHI,C,72.0,60.0,1785.0,7.1,13.5,0.524,0.0,0.0,,7.1,13.5,0.524,0.524,2.5,4.2,0.601,5.3,10.1,15.4,1.0,1.3,3.4,3.2,6.8,16.7,102.0,100.0,
149.0,Rasho Nesterović,28.0,SAS,C,70.0,70.0,1785.0,6.0,13.0,0.46,0.0,0.0,,6.0,13.0,0.46,0.46,0.4,0.9,0.467,5.6,8.3,13.9,2.1,0.9,3.5,2.2,6.3,12.4,101.0,97.0,
150.0,Dan Gadzuric,26.0,MIL,C,81.0,81.0,1783.0,7.2,13.4,0.539,0.0,0.0,,7.2,13.4,0.539,0.539,3.2,5.9,0.538,7.7,12.2,20.0,0.9,1.4,3.1,2.4,6.6,17.6,113.0,104.0,
152.0,Hedo Türkoğlu,25.0,ORL,SF,67.0,11.0,1757.0,9.5,22.6,0.419,2.7,7.1,0.38,6.8,15.5,0.438,0.479,5.4,6.5,0.836,1.8,4.9,6.7,4.4,1.2,0.5,3.4,4.0,27.0,107.0,110.0,6MOY-14
153.0,Anthony Johnson,30.0,IND,PG,63.0,36.0,1747.0,6.4,14.4,0.445,1.3,3.4,0.38,5.1,11.0,0.466,0.49,2.7,3.6,0.752,1.0,4.6,5.6,9.5,1.9,0.5,3.0,4.5,16.8,109.0,106.0,
154.0,Brent Barry,33.0,SAS,SG,81.0,8.0,1742.0,6.0,14.2,0.423,3.1,8.7,0.357,2.9,5.5,0.525,0.532,3.5,4.2,0.837,0.9,5.0,5.9,5.5,1.2,0.6,2.0,3.8,18.6,119.0,102.0,
155.0,Theo Ratliff,31.0,POR,C,63.0,45.0,1731.0,3.6,7.9,0.447,0.0,0.0,,3.6,7.9,0.447,0.447,2.3,3.3,0.692,3.4,6.8,10.2,1.0,0.7,4.9,1.7,5.7,9.4,103.0,106.0,
156.0,Troy Hudson,28.0,MIN,PG,79.0,32.0,1729.0,8.3,20.7,0.401,2.8,8.0,0.345,5.5,12.7,0.436,0.468,2.2,2.8,0.778,0.6,2.7,3.3,8.8,0.8,0.2,3.5,3.8,21.5,101.0,112.0,
157.0,Adonal Foyle,29.0,GSW,C,78.0,50.0,1700.0,4.7,9.4,0.502,0.0,0.0,,4.7,9.4,0.502,0.502,1.2,2.2,0.556,5.0,8.0,13.0,1.7,0.8,4.8,1.8,6.1,10.7,108.0,104.0,
158.0,Darius Miles,23.0,POR,SF,63.0,22.0,1699.0,10.6,21.9,0.482,0.3,0.7,0.348,10.3,21.2,0.487,0.488,4.1,6.8,0.6,2.2,7.2,9.4,4.1,2.4,2.5,4.9,5.9,25.4,95.0,105.0,
159.0,Clifford Robinson,38.0,2TM,C,71.0,29.0,1689.0,6.3,16.2,0.386,2.1,6.0,0.347,4.2,10.2,0.409,0.45,1.9,3.0,0.639,1.7,4.8,6.5,3.2,1.9,1.6,2.0,5.6,16.5,97.0,106.0,
160.0,Darius Songaila,26.0,SAC,PF,81.0,21.0,1668.0,7.9,15.1,0.527,0.0,0.1,0.0,7.9,15.0,0.53,0.527,2.9,3.4,0.847,3.9,6.8,10.6,3.5,1.6,0.6,2.2,6.4,18.8,116.0,108.0,
161.0,Luol Deng,19.0,CHI,SF,61.0,45.0,1663.0,8.7,20.1,0.434,1.0,3.7,0.265,7.8,16.5,0.472,0.458,3.7,5.1,0.741,2.9,7.2,10.1,4.2,1.5,0.8,3.7,3.1,22.2,98.0,100.0,ROY-5
162.0,Gordan Giriček,27.0,UTA,SG,81.0,44.0,1660.0,9.3,20.7,0.448,1.2,3.4,0.362,8.0,17.2,0.465,0.478,3.6,4.5,0.81,0.8,5.1,6.0,4.5,1.5,0.4,2.9,5.1,23.4,103.0,111.0,
163.0,Quinton Ross,23.0,LAC,SG,78.0,19.0,1659.0,5.2,12.1,0.432,0.0,0.1,0.25,5.2,12.0,0.434,0.433,2.4,3.6,0.673,1.9,4.9,6.8,3.5,1.7,0.7,1.8,5.4,12.9,101.0,108.0,
165.0,Melvin Ely,26.0,CHA,PF,79.0,17.0,1649.0,7.2,16.6,0.432,0.0,0.0,,7.2,16.6,0.432,0.432,3.8,6.7,0.575,4.5,5.8,10.3,2.4,1.0,2.2,3.6,6.3,18.2,92.0,109.0,
166.0,Donyell Marshall,31.0,TOR,PF,65.0,2.0,1645.0,8.2,18.6,0.443,4.8,11.4,0.416,3.5,7.2,0.485,0.57,2.3,2.9,0.791,3.0,10.5,13.5,2.6,1.8,1.4,1.3,4.3,23.5,120.0,105.0,6MOY-9
167.0,Chris Kaman,22.0,LAC,C,63.0,50.0,1632.0,8.1,16.3,0.497,0.0,0.0,0.0,8.1,16.3,0.498,0.497,2.6,4.0,0.661,4.5,9.5,14.0,2.4,0.9,2.2,3.8,6.0,18.9,98.0,105.0,
168.0,Juwan Howard,31.0,HOU,PF,61.0,47.0,1624.0,8.1,18.0,0.451,0.0,0.0,0.0,8.1,18.0,0.452,0.451,3.2,3.8,0.843,4.2,7.3,11.5,3.1,1.1,0.2,2.6,4.8,19.5,103.0,104.0,
171.0,Jameer Nelson,22.0,ORL,PG,79.0,21.0,1612.0,9.0,19.7,0.455,1.4,4.4,0.312,7.6,15.3,0.497,0.49,2.3,3.4,0.682,1.6,4.4,6.1,7.4,2.5,0.1,3.7,6.3,21.7,103.0,108.0,
172.0,Erick Dampier,29.0,DAL,C,59.0,56.0,1609.0,6.5,11.8,0.55,0.0,0.1,0.0,6.5,11.7,0.555,0.55,4.4,7.3,0.605,5.9,10.2,16.1,1.6,0.5,2.6,3.3,6.6,17.4,111.0,103.0,
174.0,Jeff Foster,28.0,IND,C,61.0,43.0,1594.0,5.8,11.2,0.519,0.0,0.2,0.0,5.8,11.0,0.527,0.519,3.1,4.9,0.634,7.1,11.9,19.0,1.5,1.6,0.4,1.9,6.4,14.7,118.0,102.0,
180.0,Corliss Williamson,31.0,2TM,PF,72.0,9.0,1527.0,9.1,19.5,0.467,0.0,0.1,0.0,9.1,19.4,0.469,0.467,6.5,8.1,0.799,3.5,5.2,8.6,2.6,1.3,0.5,2.9,7.3,24.7,107.0,108.0,
181.0,Kelvin Cato,30.0,ORL,C,62.0,50.0,1525.0,5.3,9.9,0.539,0.0,0.0,,5.3,9.9,0.539,0.539,3.7,4.8,0.783,3.4,10.4,13.8,1.3,1.8,2.7,2.1,5.6,14.4,116.0,103.0,
183.0,Greg Buckner,28.0,DEN,SG,70.0,41.0,1522.0,5.4,10.2,0.528,1.7,4.1,0.405,3.7,6.1,0.61,0.609,2.1,2.7,0.778,2.2,4.8,7.0,4.5,2.5,0.2,1.7,5.7,14.6,126.0,105.0,
184.0,Sam Cassell,35.0,MIN,PG,59.0,38.0,1522.0,11.3,24.3,0.464,1.0,3.6,0.262,10.3,20.7,0.5,0.484,4.7,5.5,0.865,0.9,4.7,5.6,10.7,1.3,0.5,3.9,5.7,28.3,109.0,109.0,
186.0,Jon Barry,35.0,2TM,SG,69.0,2.0,1505.0,5.8,13.2,0.438,2.5,5.9,0.43,3.2,7.3,0.443,0.534,2.2,2.5,0.873,0.9,4.8,5.7,6.0,2.1,0.3,2.4,3.4,16.3,113.0,105.0,
187.0,Keith Van Horn,29.0,2TM,PF,62.0,16.0,1502.0,9.0,19.7,0.456,1.9,5.0,0.38,7.1,14.7,0.481,0.504,4.5,5.5,0.815,3.1,7.1,10.3,2.6,1.3,0.7,2.8,5.9,24.3,110.0,108.0,
188.0,Eddie Griffin,22.0,MIN,PF,70.0,0.0,1492.0,7.3,18.9,0.387,2.4,7.4,0.328,4.9,11.5,0.425,0.451,2.0,2.8,0.718,4.6,11.7,16.4,1.9,0.8,4.3,2.0,4.3,19.0,102.0,101.0,
190.0,Bonzi Wells,28.0,MEM,SG,69.0,19.0,1489.0,9.9,22.5,0.441,1.3,3.8,0.346,8.6,18.7,0.46,0.47,5.1,6.9,0.75,1.8,6.6,8.3,2.9,3.1,1.0,3.3,6.0,26.3,100.0,101.0,
193.0,Carlos Arroyo,25.0,2TM,PG,70.0,16.0,1448.0,6.3,16.2,0.389,0.3,1.1,0.267,6.0,15.1,0.398,0.399,4.5,5.6,0.799,1.0,2.9,3.9,10.6,1.7,0.2,4.0,5.4,17.4,99.0,109.0,
194.0,Predrag Drobnjak,29.0,ATL,C,71.0,1.0,1435.0,8.7,19.9,0.438,0.9,2.6,0.352,7.8,17.3,0.451,0.461,3.5,4.4,0.8,2.7,6.0,8.7,1.8,1.5,0.9,2.9,5.1,21.8,100.0,112.0,
196.0,Chris Andersen,26.0,NOH,C,67.0,2.0,1430.0,7.3,13.7,0.534,0.0,0.1,0.0,7.3,13.6,0.538,0.534,5.0,7.3,0.689,5.3,10.5,15.7,2.7,0.5,3.8,2.5,5.5,19.7,116.0,104.0,
198.0,Marquis Daniels,24.0,DAL,SG,60.0,17.0,1412.0,8.1,18.5,0.437,0.3,1.3,0.2,7.8,17.2,0.454,0.443,3.6,4.9,0.737,3.2,4.7,7.9,4.7,3.0,0.5,3.2,4.5,20.0,101.0,104.0,
212.0,Maurice Taylor,28.0,2TM,PF,65.0,16.0,1336.0,8.2,17.9,0.455,0.1,0.4,0.333,8.0,17.6,0.458,0.459,2.5,4.1,0.612,2.7,7.6,10.3,2.7,1.1,0.8,3.8,7.2,19.0,91.0,105.0,
220.0,Rodney Buford,27.0,NJN,SF,64.0,17.0,1313.0,7.7,20.1,0.382,1.4,4.4,0.315,6.3,15.6,0.402,0.417,1.5,1.8,0.822,1.4,6.4,7.8,2.6,1.6,0.2,1.4,4.1,18.3,92.0,104.0,
221.0,Dale Davis,35.0,2TM,C,61.0,28.0,1307.0,4.6,9.6,0.479,0.0,0.0,,4.6,9.6,0.479,0.479,2.5,4.0,0.606,6.2,9.1,15.3,1.9,1.3,2.7,1.8,6.6,11.6,113.0,103.0,
223.0,Stromile Swift,25.0,MEM,PF,60.0,14.0,1279.0,9.3,20.7,0.449,0.0,0.2,0.0,9.3,20.5,0.452,0.449,7.0,9.3,0.758,3.9,7.7,11.6,1.8,1.7,3.9,3.8,7.7,25.6,101.0,100.0,
